Deposit,Sample,Reference,Fe,Mn,Co,Cu,Ga,Ge,Ag,Cd,In,Sn,Sb,Pb,Deposit type
Baia de Aries ,1,"Cook et al., 2009",8175,8073,0.01,4330,8.9,0.87,7.35,4226,135,5.9,1.37,1.83,Epithermal
Baia de Aries ,1,"Cook et al., 2009",77627,9325,0.015,82,4.9,1.27,1.61,4675,6.1,2.9,0.01,0.14,Epithermal
Baia de Aries ,1,"Cook et al., 2009",114676,5883,0.015,504,9.5,1.81,2.09,6245,19.6,14.8,0.02,0.4,Epithermal
Baia de Aries ,1,"Cook et al., 2009",5445,13481,0.015,3172,3.6,0.93,5.42,4185,186,1.71,0.005,0.61,Epithermal
Baia de Aries ,1,"Cook et al., 2009",9838,2386,0.015,614,0.46,0.97,2.31,3819,210,0.94,0.05,0.72,Epithermal
Baia de Aries ,1,"Cook et al., 2009",11424,9128,0.015,2394,4.7,1.18,4.39,4341,281,2.48,0.37,1.84,Epithermal
Hanes ,1,"Cook et al., 2009",109931,3468,3.1,683,4.67,1.21,13.6,4094,38,1.1,0.005,0.05,Epithermal
Hanes ,1,"Cook et al., 2009",92516,4615,0.73,168,1.4,1.14,9.61,4338,71.2,22.7,1.22,1.61,Epithermal
Hanes ,1,"Cook et al., 2009",83527,1747,7.82,99,4.83,1.14,3.72,3942,86,25.4,0.005,0.18,Epithermal
Hanes ,1,"Cook et al., 2009",108355,3615,0.56,2829,4.25,1.19,38.8,3756,43.4,4,0.65,0.75,Epithermal
Hanes ,1,"Cook et al., 2009",79417,5941,1.65,335,3.04,1.41,12.3,3910,65.7,29.2,4.02,38.8,Epithermal
Hanes ,1,"Cook et al., 2009",50902,2192,7.43,20,1.86,0.97,6.22,3189,17,6.2,1.84,2.72,Epithermal
Hanes ,1,"Cook et al., 2009",83504,13898,3.51,28,4.29,1.33,3.59,3965,22.9,3.4,0.16,3.8,Epithermal
Hanes ,1,"Cook et al., 2009",108572,782,39,1594,10.4,1.3,6.75,5223,23.4,319,0.07,11.7,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",934,76001,0.015,591,451,29,17.7,3428,71.7,88.7,5.05,40.9,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",877,32476,0.015,1366,1137,240,8.9,2336,4.9,7.7,2.99,2.1,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",1086,41025,0.02,1295,1026,234,13.9,2307,6.5,10.1,4.43,3.45,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",887,35870,0.01,100,52,4,2.6,2035,4.3,5.5,5.08,5.74,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",804,54390,0.015,586,497,102,5.8,2842,30.3,47.6,5.07,2.33,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",986,61142,0.155,355,176,6.8,2.5,2795,67.3,96.4,0.15,1.45,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",855,55585,0.015,843,587,204,7.3,2839,38.1,59.8,1.21,1.31,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",816,31064,0.015,1248,1088,206,7.9,2273,6.1,8.6,4.05,1.83,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",839,55346,0.015,424,295,27.8,3.1,2533,52.4,109,0.2,1.41,Epithermal
Rosia Montana,crc-7,"Cook et al., 2009",119315,2266,1.2,736,5.3,1.47,14.6,3685,101,13.5,0.01,0.11,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2254,58458,0.44,164,63.6,1.64,2.2,3993,0.09,1.71,0.07,5.53,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2629,62659,0.55,1604,87.1,1.43,8.01,3412,0.11,0.89,0.15,3181,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2491,64301,0.52,1818,176,2.67,9.05,3518,0.1,0.97,0.01,0.64,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",1937,59794,0.73,106,119,1.7,2.19,3375,0.13,0.78,0.005,0.19,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2605,70502,0.44,334,90.9,2.27,8.92,3859,0.08,1.9,0.76,219,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",1919,73617,0.51,124,178,3.45,2.64,3658,0.07,1.59,0.01,0.41,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",12850,51339,1.61,11356,160,11.9,13.49,2967,0.81,4.83,0.41,3.59,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",4524,99443,0.61,2866,69.8,10.1,12.39,3722,0.2,4.11,0.83,14,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",2169,70150,0.6,51,56.2,1.07,2.13,3552,0.19,0.22,0.03,0.66,Epithermal
Rosia Montana,RM-21,"Cook et al., 2009",1038,65467,0.01,637,379,46,4.72,2967,91.6,141,0.41,2.84,Epithermal
Magura,Mag-8,"Cook et al., 2009",2400,43904,0.035,372,80,30.8,23.4,3704,2.25,14.8,176,111,Epithermal
Magura,Mag-8,"Cook et al., 2009",130,9785,0.015,529,14,32.1,25.3,4328,0.05,2.7,302,22.6,Epithermal
Magura,Mag-8,"Cook et al., 2009",601,47216,0.015,178,61,10.2,8.4,4189,2.97,11.2,48.4,3.8,Epithermal
Magura,Mag-8,"Cook et al., 2009",228,6324,0.05,2098,401,246,51.9,8727,0.7,2.04,1049,78.2,Epithermal
Magura,Mag-8,"Cook et al., 2009",185,15435,0.01,1173,35,140,59.9,3674,0.45,5.6,678,106,Epithermal
Magura,Mag-8,"Cook et al., 2009",62,2859,0.015,1640,12,90.5,135,4537,0.09,5.15,1166,193,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",5253,1874,1.17,537,22,1.8,11,4583,0.34,2.01,27.7,5.7,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",3069,2864,0.015,65,33,4.3,16,4199,2.04,7.16,17,4.9,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",2624,2512,0.01,73,57,2.8,7,3559,4.31,8.77,7.9,1.4,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",6559,1767,0.02,1451,5.2,0.8,15,4214,1.53,1.85,13.1,64.3,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",5008,2156,0.02,875,156,12.5,28,3550,0.14,0.9,54.1,12.4,Epithermal
Sacaramb,Sac 7.3,"Cook et al., 2009",4021,4113,0.015,392,191,13,13,3244,0.51,6.48,19.9,79.1,Epithermal
Sacaramb,Sac 7.7,"Cook et al., 2009",375,29464,0.01,1275,839,165.3,16,3873,82.2,205.6,87,17,Epithermal
Sacaramb,Sac 7.7,"Cook et al., 2009",712,18451,0.05,1875,1126,345.5,42,4591,46.5,78.1,245,130,Epithermal
Sacaramb,Sac 7.7,"Cook et al., 2009",992,52755,0.08,919,376,63,49,4376,73,186,298,988,Epithermal
Sacaramb,Sac 7.7,"Cook et al., 2009",452,77686,0.015,88,85,1.4,1.5,1015,38.8,15,0.54,8,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",95614,1212,0.07,2446,4.9,1.1,12.7,10390,54.7,0.23,0.04,0.71,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",94575,711,4.5,1054,7.1,1.1,6.5,10106,159,0.43,0.07,0.18,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",97741,804,0.11,3631,6,1.2,14,11044,226,0.51,0.27,0.56,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",97004,1221,0.03,174,7.7,1.1,3.5,10266,54.1,0.09,0.04,0.18,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",94495,1182,0.38,4312,6.2,1.1,9.5,9879,129,0.26,0.77,1.4,Epithermal
Toroiaga,Tga-1,"Cook et al., 2009",93457,978,0.05,1535,6.6,1,7.1,10324,118,0.11,0.24,0.76,Epithermal
Toyoha ,In-1,"Cook et al., 2009",36510,296,35.5,1941,85,2.4,485,2306,38,1406,92.9,103,Epithermal
Toyoha ,In-1,"Cook et al., 2009",57889,183,0.3,2366,500,3.8,844,9631,408,2505,131,158,Epithermal
Toyoha ,In-1,"Cook et al., 2009",57067,180,1.04,2798,601,3.7,763,13081,1082,2319,104,237,Epithermal
Toyoha ,In-1,"Cook et al., 2009",54722,114,0.61,12436,61,1.1,5061,8063,15917,1876,143,5240,Epithermal
Toyoha ,In-1,"Cook et al., 2009",37683,53,0.08,7616,153,0.9,758,6970,9656,1747,5.3,13.9,Epithermal
Toyoha ,In-2,"Cook et al., 2009",22893,85,11.2,1259,110,10.4,635,1514,236,1095,468,6333,Epithermal
Toyoha ,In-2,"Cook et al., 2009",98644,546,123.5,1176,75.7,3.9,518,1902,495,786,2177,2295,Epithermal
Toyoha ,In-2,"Cook et al., 2009",40795,117,11.3,703,68.2,1.5,344,1401,297,794,377,1802,Epithermal
Toyoha ,In-2,"Cook et al., 2009",17363,80,5.7,7323,855,8.4,4107,13212,7254,915,5018,4495,Epithermal
Majdanpek,MD-20,"Cook et al., 2009",92590,4345,33.74,541,0.59,1,1.95,2823,50.2,0.13,0.1,0.63,Skarn
Majdanpek,MD-20,"Cook et al., 2009",92222,2545,33.98,165,0.46,1,1.53,3256,98.9,0.14,0.02,0.12,Skarn
Majdanpek,MD-20,"Cook et al., 2009",87931,3745,34.82,129,0.7,1.1,1.79,2800,63.6,0.47,0.02,0.23,Skarn
Majdanpek,MD-20,"Cook et al., 2009",91453,4202,33.81,143,0.8,1.1,1.7,2944,57,0.17,0.005,0.21,Skarn
Majdanpek,MD-20,"Cook et al., 2009",85805,3570,31.96,328,1.2,1.2,2.06,2850,46.9,0.53,0.15,1.2,Skarn
Majdanpek,MD-20,"Cook et al., 2009",89874,4066,34.92,463,0.85,1.1,1.99,2867,44.4,0.15,0.05,0.8,Skarn
Majdanpek,MD-20,"Cook et al., 2009",91608,4405,35.06,171,1.3,1.2,1.62,2869,38.6,1.52,0.32,0.84,Skarn
Majdanpek,MD-20,"Cook et al., 2009",91815,4476,36.28,69,1,1,1.5,2773,44,0.07,0.02,0.12,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",65915,5681,5.9,1629,0.67,1.43,2,6009,62.8,0.15,0.18,1.96,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",68680,5300,12.3,107,0.76,1.47,2.67,5896,37.7,0.075,0.03,85.835,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",70619,5275,30.9,251,1.55,1.63,6.82,5962,127,0.68,3.04,210,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",78640,3797,68.2,527,1.87,1.69,5.33,5804,175,0.56,1.42,240,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",60411,4803,8.3,120,3.88,1.76,4.01,5821,54.1,4.83,0.86,31,Skarn
Ocna de Fier,Stef-1,"Cook et al., 2009",71029,2909,23.2,285,1.7,1.72,4.67,5577,57.4,3.31,0.9,1526,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",28566,3991,289,38,0.33,0.89,1.58,4825,13,0.07,0.02,0.89,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",27287,10063,310,638,0.31,1.09,7.14,4947,14.9,0.13,1.05,426.93,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",42010,13256,329,647,0.53,1.17,21.66,5169,18.5,0.22,1.76,4674.41,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",30266,4093,324,31.5,0.26,1.1,1.56,4952,16.6,0.07,0.44,15.79,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",31452,4769,309,19,0.59,1.59,2.23,5104,17.1,0.31,1.23,12.52,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",26863,3878,300,621,0.48,1.24,16.52,5373,20.5,0.28,0.91,7164.74,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",28702,4071,278,19,0.39,0.98,1.5,4968,20.9,0.19,0.02,5.77,Skarn
Ocna de Fier,3910b,"Cook et al., 2009",25413,4217,273,166,0.14,1.13,2.43,5362,13,0.63,0.46,34.97,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",20797,3374,682,2590,0.26,0.99,2.44,5159,20.8,0.03,0.03,0.215,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",24248,3070,528,13397,0.3,1.06,4.4,5419,18.3,0.18,0.37,2061,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",19997,2758,523,4134,0.115,1.19,5.74,5338,9.4,0.03,0.08,575,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",18055,2346,575,567,0.145,1.02,1.87,5640,34.3,0.035,0.04,23.6,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",18584,2651,573,24,0.16,1.1,1.6,5205,10.3,0.055,0.02,7.96,Skarn
Ocna de Fier, 54G,"Cook et al., 2009",15734,2152,541,2001,0.16,1.5,17.3,5664,10.1,0.12,1.53,1848,Skarn
Ocna de Fier,3375,"Cook et al., 2009",1619,11047,1193,10,0.12,0.77,3.23,6352,1.6,0.11,0.06,403,Skarn
Ocna de Fier,3375,"Cook et al., 2009",3199,1934,2411,17,0.53,0.76,25.93,6721,1,0.03,0.02,8758,Skarn
Ocna de Fier,3375,"Cook et al., 2009",13871,23484,2708,14,1.11,0.88,3.88,6553,2.7,0.24,0.06,550,Skarn
Ocna de Fier,3375,"Cook et al., 2009",2866,1713,2498,10,0.63,0.58,14.7,6897,2.1,0.025,0.07,5540,Skarn
Ocna de Fier,3375,"Cook et al., 2009",4422,905,2828,20,0.45,0.67,3.79,7146,2.1,0.09,0.02,507,Skarn
Baita Bihor,16C,"Cook et al., 2009",12053,3355,491,18,0.7,0.86,1.34,7662,25.8,0.09,0.02,0.35,Skarn
Baita Bihor,16C,"Cook et al., 2009",15554,3054,484,173,4.5,0.75,1.59,7823,24.9,0.08,0.01,3.79,Skarn
Baita Bihor,16C,"Cook et al., 2009",11898,3423,496,22,1.8,0.79,1.31,7793,34,0.07,0.005,0.27,Skarn
Baita Bihor,16C,"Cook et al., 2009",11462,3601,524,15,0.17,0.72,1.33,7833,22.1,0.03,0.1,2.68,Skarn
Baita Bihor,16C,"Cook et al., 2009",13887,3295,507,40,0.78,0.84,1.43,7909,21.7,0.025,1.16,0.92,Skarn
Baita Bihor,16C,"Cook et al., 2009",11883,3421,510,14,3.5,0.9,1.45,7833,16.8,0.025,0.13,0.65,Skarn
Baita Bihor,19CB,"Cook et al., 2009",2782,1142,1405,7724,0.95,0.69,121,5726,824,0.75,0.06,56.7,Skarn
Baita Bihor,19CB,"Cook et al., 2009",1723,1115,1458,3464,0.22,0.72,22.9,5691,867,0.4,0.005,10.26,Skarn
Baita Bihor,19CB,"Cook et al., 2009",1220,952,1176,2664,0.83,0.8,8.33,5780,817,0.62,0.01,0.89,Skarn
Baita Bihor,19CB,"Cook et al., 2009",919,841,1010,2031,0.18,0.92,15.3,5889,770,0.16,0.005,2.98,Skarn
Baita Bihor,19CB,"Cook et al., 2009",1446,1048,1237,2799,0.18,0.82,7.36,5631,795,0.22,0.005,0.15,Skarn
Baita Bihor,19CB,"Cook et al., 2009",1352,883,1037,3509,0.41,0.92,44.5,5852,811,0.37,0.01,46.6,Skarn
Baita Bihor,BB6,"Cook et al., 2009",13943,4300,591,161,0.38,0.88,1.63,7310,250,2.64,0.02,0.92,Skarn
Baita Bihor,BB6,"Cook et al., 2009",10100,3240,584,163,0.56,0.8,1.91,7118,245,4.02,0.02,1.56,Skarn
Baita Bihor,BB6,"Cook et al., 2009",10869,3182,620,215,0.81,1.06,9.03,7601,235,4.31,2.22,114,Skarn
Baita Bihor,BB6,"Cook et al., 2009",12931,3777,589,112,1.27,1.04,1.76,7119,137,8.81,0.02,0.46,Skarn
Baita Bihor,BB6,"Cook et al., 2009",12961,3729,600,217,1.15,1.31,12.3,7218,225,3.22,1.23,130,Skarn
Baita Bihor,BB6,"Cook et al., 2009",16482,4575,610,722,0.73,1.23,35,7892,265,1.24,0.1,89.6,Skarn
Baita Bihor,BB6,"Cook et al., 2009",15679,4382,600,207,1.22,1.09,2.83,7415,248,3.39,0.07,61.4,Skarn
Baita Bihor,BB6,"Cook et al., 2009",11274,3431,595,157,2.06,1.1,3.89,7148,182,15.8,0.22,112,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10665,3602,583,10.7,0.58,0.77,1.4,7999,10.3,0.07,0.005,0.1,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10258,3811,568,29.8,0.75,0.74,1.5,7865,11.2,0.07,0.005,0.08,Skarn
Baita Bihor,BB23,"Cook et al., 2009",12013,4924,565,43.7,1.3,0.72,1.4,7502,12.6,0.06,0.01,0.1,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10616,3529,548,23.9,0.76,0.87,1.4,7741,12.4,0.08,0.42,0.09,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10567,4562,551,10.5,1.3,0.79,1.4,7530,12.5,0.05,0.55,0.23,Skarn
Baita Bihor,BB23,"Cook et al., 2009",11839,4900,559,13.7,0.81,0.88,1.3,7278,12.3,0.07,0.005,0.08,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10290,4161,553,32,3.4,0.78,1.4,7521,12.5,0.06,0.04,8.71,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10260,4108,566,9,1.3,0.74,1.3,7681,11.6,0.06,0.005,0.09,Skarn
Baita Bihor,BB23,"Cook et al., 2009",10464,4183,572,9.7,1.2,0.85,1.4,7668,11.1,0.06,0.005,0.07,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",513,685,777.8,618,0.03,0.35,4.39,2894,542.6997703,0.04,0.04,1.78,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",922,1187.2,1212,1295,0.03,0.35,3.6,2757,634.1994965,0.16,0.04,0.576,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",1680,1123.5,1129.1,3290,0.03,0.35,19.6,2771,646.9991356,0.281,0.04,33.1,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",2740,1155.4,1191.1,4860,0.139,0.35,6.94,2687,677.098806,0.391,0.04,0.62,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",1089,1195,1264,1294,0.389,0.35,1.94,2656,735.9972309,0.856,0.04,0.129,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",904,1147,1184,1216,0.716,0.35,1.6,2669,698.2961844,1.214,0.04,0.139,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",836,831,832,1863,0.558,0.35,1.68,2791,617.2989543,0.326,0.04,0.107,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",956,935.5,958.2,1820,0.546,0.35,2.9,2791,623.7991199,0.282,0.04,0.387,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",1122,996,985.1,2110,0.624,0.35,3.1,2781,634.6988744,0.361,0.04,0.528,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",1490,1106.6,1063.4,2860,0.52,0.35,4.59,2779,650.6981384,0.59,0.04,0.242,Skarn
Baita Bihor,BBH19,"Frenzel et al., 2020",604,658,677.6,1190,0.172,0.35,2.12,3011,544.6993825,0.203,0.04,0.653,Skarn
Baita Bihor,BBH19,"Cook et al., 2009",11050,4294,567,51.2,3,0.78,1.3,7500,13,0.1,0.03,0.29,Skarn
Valea Seaca,VS1b,"Cook et al., 2009",27758,2109,2.4,6205,3.68,1.51,4.94,5349,59.2,18.3,0.07,49.4,Skarn
Valea Seaca,VS1b,"Cook et al., 2009",27087,1447,8.8,12140,4.01,1.09,7.58,5102,59.7,46,0.08,23,Skarn
Valea Seaca,VS1b,"Cook et al., 2009",28477,1699,8.7,9967,1.34,1.5,7.11,5559,21.3,2.7,1.33,1.32,Skarn
Valea Seaca,VS1b,"Cook et al., 2009",27339,1580,5.8,9770,2.41,1.3,6.91,5315,40.4,13.3,0.1,13.5,Skarn
Valea Seaca,VS1b,"Cook et al., 2009",32653,1875,4.6,15114,2.48,1.21,11.5,5493,114,9.3,0.16,0.84,Skarn
Lefevre,L-12,"Cook et al., 2009",109147,2819,332,118,0.7,2.26,2.14,10923,186,0.065,0.03,0.85,Skarn
Lefevre,L-12,"Cook et al., 2009",102969,2663,311,108,0.73,1.97,1.95,10559,180,0.035,0.02,0.7,Skarn
Lefevre,L-12,"Cook et al., 2009",92428,2396,300,107,0.25,2.02,2.47,10469,172,0.06,0.04,1.71,Skarn
Lefevre,L-12,"Cook et al., 2009",98651,2609,337,122,0.56,2.02,4.02,10463,160,0.085,0.08,3.02,Skarn
Lefevre,L-12,"Cook et al., 2009",99588,2762,330,398,0.4,1.73,5.19,10644,139,0.11,0.22,8.31,Skarn
Lefevre,L-12,"Cook et al., 2009",119230,5186,355,161,2.02,3.58,5.05,10071,192,0.2,0.41,8.65,Skarn
Lefevre,L-12,"Cook et al., 2009",108884,3148,325,1268,0.8,2.29,3.14,11945,203,0.04,0.025,1.62,Skarn
Lefevre,L-12,"Cook et al., 2009",101065,2815,332,166,0.52,2.16,3.04,11359,202,0.035,0.1,5.78,Skarn
Konnerudkollen,Ko99.2,"Cook et al., 2009",4390,609,1538,633,0.085,0.81,8.26,2469,7.7,0.05,0.015,59.3,Skarn
Konnerudkollen,Ko99.2,"Cook et al., 2009",4332,575,1542,350,0.97,0.72,3.89,2492,6.5,0.08,0.015,10.5,Skarn
Konnerudkollen,Ko99.2,"Cook et al., 2009",4405,551,1544,529,0.56,0.59,3.05,2468,8.2,0.06,0.02,9.7,Skarn
Konnerudkollen,Ko99.2,"Cook et al., 2009",3981,506,1585,103,0.35,0.79,4.79,2495,8.1,0.025,0.04,17.2,Skarn
Tres Marias TM,High-Fe,"Cook et al., 2009",82933,41,0.43,34,3.9,1242,6.5,6581,0.2,3.76,17.3,1217,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",75311,44.7,0.36,32.9,2.3,1053,4.1,5064,0.3,4.8,9.3,1347,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",89681,39.5,0.41,19.1,2.1,1195,4.8,6418,0.2,2.2,16,1085,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",74347,38,0.41,80.6,6,1042,6.6,6526,0.7,11.1,13.1,1376,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",93193,50,0.4,17.2,1.36,976,2.92,4389,0.15,2.06,0.71,1155,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",90255,40,0.43,19,2.17,1092,5.26,5626,0.14,2.13,14.43,1149,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",91818,44,0.41,38,3.15,1126,4.96,4220,0.3,5.58,15.89,1356,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",88106,43,0.44,56.2,4.23,986,5.97,6419,0.5,8.8,12.5,1494,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",87584,46,0.44,9.4,1.36,997,2.66,4240,0.1,1.5,1,1653,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",106107,47,0.38,4.5,0.57,964,2.27,5428,0.04,0.69,1.04,1653,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",83994,44,0.48,9.6,1.52,1129,3.47,4077,0.07,0.92,5.05,1067,MVT
Tres Marias TM,High-Fe,"Cook et al., 2009",82818,45,0.34,23.9,2.65,1164,5.69,6215,0.2,2.84,19.7,1639,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",31717,6.1,0.27,1,19.2,239,2,3968,0.06,0.29,101,915,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",21596,5.7,0.11,5.5,38.1,198,2.1,5189,0.06,0.91,80.7,2772,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",16681,7.2,0.09,13.1,34.1,175,2.7,5259,0.2,2.23,25.2,374,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",26506,8.6,0.12,9.9,18.8,294,2.4,4568,0.1,1.65,15.1,3659,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",29128,7.8,0.165,3.2,8.15,307,2.2,4365,0.025,1.16,7.68,360,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",26767,11,0.26,10.2,54.7,257,2.56,5938,0.14,2.94,47.95,1925,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",38674,17.3,0.23,3.4,8.49,448,2.21,5110,0.03,0.84,10.52,740,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",38482,6.9,0.31,1.225,4.51,233,1.64,3354,0.025,0.215,63.2,2358,MVT
Tres Marias TM,Low-Fe,"Cook et al., 2009",61129,4.4,0.1,3.2,6.54,194,1.76,3695,0.02,1.17,161.4,2543,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",36500,14.87,0.27,1.16,15.93,185.484,0.505,2837,0.001,0.502,41,5300,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",29220,13,0.268,1.48,10.13,220.922,0.605,2766,0.001,0.73,30,4080,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",21930,7.98,0.236,0.55,27.54,158.92,0.591,3242,0.001,0.26,29.48,1440,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",16710,5.61,0.221,1.54,8.09,129.862,0.739,3642,0.006088606,0.66,53.5,960,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",30820,7.87,0.0911,9.22,22.13,203.348,1,5069,0.078354471,1.587,69.7,244,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",27810,10.4,0.115,10,41.35,189.138,1.021,4660,0.062149857,1.304,11.46,418,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",79400,43.6,0.3482,28.05,1.564,934.844,2.304,4970,0.180644999,3.934,9.5,1145,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",79200,46.1,0.3078,21.91,1.252,851.73,2.179,4773,0.154621528,2.85,8.98,1246,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",88200,43.17,0.3264,19,1.312,936.7,2.708,5220,0.109257117,2.051,14.19,1161,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",74570,40.04,0.3046,15.63,0.946,864.316,2.25,4879,0.08529617,1.682,14.38,1290,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",85790,44.83,0.329,72.5,3.141,888.734,3.346,5025,0.456598878,9.68,11.36,1321,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",77340,41.69,0.3242,89.21,3.88,873.422,3.679,5736,0.599182367,12.83,10.92,1362,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",81500,38.83,0.3399,44.56,2.246,833.866,2.981,5790,0.284422457,6.07,11.71,1465,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",85150,46.89,0.3234,16.45,0.983,771.98,1.524,4751,0.108767415,2.06,2.947,2254,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",100500,44.15,0.3458,3.871,0.367,807.534,0.956,4796,0.025143626,0.515,1.004,1657,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",97900,45.62,0.3398,4.58,0.396,851.556,0.95,4587,0.03069263,0.668,1.004,1638,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",107000,48.38,0.339,2.003,0.2136,891.866,0.741,3882,0.012190797,0.285,1.02,1689,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",97900,46.06,0.341,4.77,0.351,827.776,0.794,3702,0.037276759,0.748,1.267,2009,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",86200,41.31,0.3238,1.372,0.151,858.11,0.641,4058,0.011780678,0.259,1.433,2038,MVT
Tres Marias TM,TM06_2,"Frenzel et al., 2020",83200,39.97,0.3301,2.33,0.2469,915.066,0.771,4237,0.018304479,0.377,1.579,2107,MVT
